radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
4.242038166809937394e+00,-1.168896591531192176e-15,1.123001551817292326e-13,-2.957124522770526731e-05,9.463348040773826699e-21
4.298978276431546064e+00,-6.885945095844653386e-16,7.156628300715158425e-14,-2.337192998906265085e-05,5.421091364319144768e-21
4.355918386053156510e+00,-1.190382532633809215e-16,4.939121834919656236e-14,-2.131569899288532355e-05,9.062788417208874704e-22
4.412858495674766957e+00,-2.249995866904471517e-17,3.517586273808735144e-14,-1.890082724943439874e-05,1.626425342318920000e-22
4.469798605296376515e+00,-2.938733345998917424e-17,2.726015443049302329e-14,-1.544966487909520125e-05,2.090116245829065724e-22
4.526738714917986073e+00,-3.834639933865889572e-17,2.130197418165200346e-14,-1.241766145660717913e-05,2.740094970863788657e-22
4.583678824539596519e+00,-3.984575603982488260e-17,1.449278047337553217e-14,-1.010822630883624618e-05,2.720784631390661431e-22
4.640618934161206077e+00,-7.416798347777912533e-17,1.370766280991788299e-14,-9.237723425974120328e-06,4.980125383121965309e-22
4.697559043782815635e+00,-6.734113913411883783e-17,1.013345979268923987e-14,-7.065042001101057290e-06,4.380426510945477379e-22
4.754499153404426082e+00,-5.607389985987592413e-17,7.534061733218656308e-15,-5.470360125042240951e-06,3.497881899551267896e-22
4.811439263026036528e+00,-3.800788207084010576e-17,5.932849249298867816e-15,-4.883502983832332944e-06,2.261829771128255191e-22
4.868379372647645198e+00,-1.896613562126029634e-17,4.368058610737123145e-15,-3.852206300163953101e-06,1.081095509513759883e-22
4.925319482269255644e+00,-7.263077127264538557e-18,2.992385047028987524e-15,-2.943314097853672040e-06,3.965860415611324986e-23
4.982259591890866091e+00,-6.316241423300017639e-19,1.835995158511103473e-15,-2.122136281790341222e-06,3.266756594676103349e-24
5.039199701512474761e+00,1.094082355200151202e-30,1.354110663474695735e-15,-1.798168570153182641e-06,-5.434040404442446180e-36
5.096139811134085207e+00,3.866115233714302618e-31,8.464624658611410771e-16,-1.179569018817765158e-06,-1.828485070120492716e-36
5.153079920755695653e+00,7.099939334900745619e-32,5.470531649217188739e-16,-9.808383686208711760e-07,-3.205850609586836955e-37
5.210020030377304323e+00,2.615344114865303706e-32,3.265185605869689087e-16,-7.240369914063727458e-07,-1.120792614138224091e-37
5.266960139998914769e+00,1.190164692662885488e-32,2.064954078386004899e-16,-5.206824286269290478e-07,-4.814098390815295319e-38
5.323900249620525216e+00,1.088510088389789012e-33,8.328797500419522466e-17,-1.847829378424443092e-07,-4.166755681744828229e-39
5.380840359242134774e+00,2.403179681672492769e-34,7.171003094761877311e-17,-1.758058615937820122e-07,-8.752322352953512732e-40
5.437780468863744332e+00,7.992887853999954697e-36,1.714771576786148691e-17,-2.714180318268578224e-08,-2.696481077830487040e-41
