barrier_max_J,chirp_margin,compliance,compliance_identity_relerr,compliance_pass,coupling_pass,gate_energy_J,ghat,lambda,lambda_pass,radiation_threshold_pass,sigma,sigma_energy,threshold_Hz,total_control_inventory_J
1.7029945849056363e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,5702603806496.004,4.466835921509635e-09,7.482233681133311e-21,True,False,80.0,98.65809608852153,6183868704.255293,5702603806496.004
1.910791351840439e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,5082450992344.624,4.731512589614813e-09,8.395204269631302e-21,True,False,80.0,98.65809608852153,6183868704.255293,5082450992344.624
2.1439431590855543e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,4529739214945.962,5.011872336272715e-09,9.419574118160894e-21,True,False,80.0,98.65809608852153,6183868704.255293,4529739214945.962
2.4055437894684464e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,4037134324821.7974,5.3088444423098795e-09,1.0568935992241686e-20,True,False,80.0,98.65809608852153,6183868704.255293,4037134324821.7974
2.699064524415078e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,3598099754369.3667,5.623413251903491e-09,1.1858541225631423e-20,True,False,80.0,98.65809608852153,6183868704.255293,3598099754369.3667
3.028400205745474e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,3206809781580.493,5.956621435290109e-09,1.3305502096259098e-20,True,False,80.0,98.65809608852153,6183868704.255293,3206809781580.493
3.3979209178582914e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2858072226250.081,6.309573444801943e-09,1.4929018895756197e-20,True,False,80.0,98.65809608852153,6183868704.255293,2858072226250.081
3.812529976095645e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2547259552899.403,6.6834391756861355e-09,1.6750634705661065e-20,True,False,80.0,98.65809608852153,6183868704.255293,2547259552899.403
4.277728990758743e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2270247466191.7344,7.0794578438413736e-09,1.879452126102268e-20,True,False,80.0,98.65809608852153,6183868704.255293,2270247466191.7344
4.799690870133831e-09,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,2023360184039.1396,7.498942093324558e-09,2.108779969463809e-20,True,False,80.0,98.65809608852153,6183868704.255293,2023360184039.1396
