x,r_m,rho_dimless,pr_dimless,pt_dimless,enclosed_mass_kg,compactness,nu,lambda_metric
1.9502528053506691,0.06435834257657208,1.964646698374665,1.6416680841317637,1.463459178494173,1.606835729776639e-08,3.708181154998021e-34,-5.052868551080147e-33,1.8540905774990105e-34
1.9802565408176025,0.06534846584698088,1.959566866497445,1.6361500587276154,1.452912690498869,1.6795510071225356e-08,3.817263281515232e-34,-5.043041631348578e-33,1.908631640757616e-34
2.010260276284536,0.06633858911738968,1.95442448978468,1.6305630636110653,1.44224985994651,1.7543082461871595e-08,3.927660919821187e-34,-5.033093132926512e-33,1.9638304599105935e-34
2.040264011751469,0.06732871238779849,1.9492202053985788,1.6249077557448512,1.4314725745336723,1.8311270626694807e-08,4.039359304001297e-34,-5.023024271546392e-33,2.0196796520006487e-34
2.0702677472184026,0.06831883565820729,1.9439546601325066,1.6191848024018531,1.4205827426597575,1.910026614121532e-08,4.152343528133472e-34,-5.012836275581366e-33,2.076171764066736e-34
2.100271482685336,0.06930895892861609,1.9386285025431769,1.6133948738972614,1.409582287085934,1.991025596753454e-08,4.266598549442102e-34,-5.002530385818705e-33,2.133299274721051e-34
2.1302752181522693,0.07029908219902489,1.9332423917597144,1.6075386517765557,1.3984731513617439,2.0741422424484794e-08,4.382109191629032e-34,-4.992107855224241e-33,2.191054595814516e-34
2.1602789536192026,0.0712892054694337,1.9277969894337186,1.6016168213771733,1.3872572933892253,2.1593943159859178e-08,4.4988601483603215e-34,-4.981569948698215e-33,2.2494300741801608e-34
2.190282689086136,0.0722793287398425,1.9222929644395925,1.5956300762122002,1.3759366886813933,2.2467991122211042e-08,4.61683598637798e-34,-4.9709179428476725e-33,2.30841799318899e-34
2.2202864245530693,0.0732694520102513,1.9167309920332054,1.589579117215727,1.3645133294027834,2.3363734536760687e-08,4.736021149191961e-34,-4.960153125730777e-33,2.3680105745959803e-34
2.2502901600200027,0.07425957528066009,1.911111750115468,1.5834646493034779,1.3529892212759749,2.428133687991792e-08,4.856399960199972e-34,-4.949276796626557e-33,2.428199980099986e-34
2.280293895486936,0.07524969855106889,1.9054359260739202,1.5772873877494047,1.3413663883477265,2.522095685752232e-08,4.977956626294757e-34,-4.938290265781138e-33,2.4889783131473785e-34
2.3102976309538694,0.07623982182147769,1.8997042080296151,1.5710480500891972,1.3296468661980672,2.618274838341388e-08,5.1006752412546625e-34,-4.927194854162715e-33,2.5503376206273313e-34
2.3403013664208028,0.07722994509188649,1.8939172927195753,1.564747363468999,1.3178327074301284,2.7166860559063956e-08,5.2245397890772895e-34,-4.915991893218367e-33,2.6122698945386447e-34
2.370305101887736,0.0782200683622953,1.8880758798200288,1.5583860594031889,1.3059259771847178,2.817343765650905e-08,5.349534147687103e-34,-4.9046827246122196e-33,2.6747670738435516e-34
2.4003088373546695,0.0792101916327041,1.88218067343707,1.5519648751909894,1.293928753922207,2.920261909982316e-08,5.475642092090954e-34,-4.893268699988301e-33,2.737821046045477e-34
2.430312572821603,0.0802003149031129,1.8762323845041176,1.5454845561775583,1.2818431308224243,3.0254539451301666e-08,5.602847298172369e-34,-4.8817511807026606e-33,2.8014236490861844e-34
2.460316308288536,0.0811904381735217,1.8702317245078919,1.5389458499533721,1.269671210959495,3.1329328396275676e-08,5.7311333459577e-34,-4.8701315375788226e-33,2.86556667297885e-34
2.4903200437554696,0.0821805614439305,1.864179413510704,1.5323495138518957,1.257415112718017,3.2427110730986103e-08,5.860483723199134e-34,-4.8584111506476695e-33,2.930241861599567e-34
2.520323779222403,0.0831706847143393,1.8580761718320162,1.5256963072437275,1.245076963545181,3.354800635192456e-08,5.990881828963715e-34,-4.8465914088856896e-33,2.9954409144818575e-34
2.5503275146893363,0.0841608079847481,1.8519227259141866,1.5189869970348997,1.2326589037923348,3.469213024486796e-08,6.122310976914976e-34,-4.834673709966702e-33,3.061155488457488e-34
2.5803312501562696,0.08515093125515691,1.8457198056313124,1.5122223551983116,1.220163084482248,3.5859592478408954e-08,6.254754399149792e-34,-4.822659459986485e-33,3.127377199574896e-34
