index,reference_equivalent_energy_j,reference_equivalent_energy_mj,band,susceptibility_gain,amplitude_response_gain,z1,z2,g1,g2,rho,productive_participation,cancellation_tax,scaffold_tax,total_tax,kinetic_min_eigenvalue,kinetic_condition_number,distance_from_unit_template,positive_hamiltonian,physical_model,complete_energy_prediction,certification_eligible
800062,9968530.728480836,9.968530728480836,TARGET_LT_10MJ,7.279273904954231,2.6980129549270573,0.5794318033540155,1.1209493114252298,1.8596353121101856,0.9557003825902939,-0.09696895070374012,0.8842928181402385,1.103220778517425,1.092473781463478,1.3629419474770363,0.5683791570691055,1.9916317191281299,0.7397537349153007,True,False,False,False
457989,8144070.809185763,8.144070809185763,TARGET_LT_10MJ,8.4759201150581,2.9113433523131724,0.8982567721723951,0.9669496547390483,1.0497137387283146,2.1660375241190195,-0.3168663773685694,0.9406861821189523,1.0551333893090487,1.1559097819548914,1.2965418533333164,0.6353024414431321,1.9359346119849654,0.7403859563410718,True,False,False,False
797562,8984414.486574734,8.984414486574734,TARGET_LT_10MJ,8.426151354616536,2.9027833805877656,0.9147877810183804,1.162362237470353,1.4717124700546265,1.8050201162695885,-0.38695979211479425,0.9995154025964439,1.177169001661241,1.2073351751954033,1.4219266047960042,0.6207930345783832,2.345962185125752,0.740513514352191,True,False,False,False
412514,7651915.484716358,7.6519154847163575,TARGET_LT_10MJ,9.344009152615781,3.0567972050196235,0.7684128203475944,1.0744125189547957,1.7837397190742195,1.5261243558488786,-0.3333391426131129,0.8315740479156375,1.029619307257235,1.0846404931497542,1.342955321873261,0.5820829847130967,2.1659151490413375,0.7407400525971135,True,False,False,False
204165,8457046.100276347,8.457046100276347,TARGET_LT_10MJ,8.680813406713263,2.9463220134115113,0.9106870046092304,0.8359776095841314,2.0418340964242816,1.3839876926504076,-0.2167318109422922,0.9303305740468204,1.166474899277091,1.0997631403685857,1.3789142635718021,0.6805725391599665,1.5664635489837382,0.7409756861932495,True,False,False,False
221874,9092045.049848985,9.092045049848984,TARGET_LT_10MJ,8.111714073567217,2.848107103598321,0.8172255479395024,1.2552193772548201,1.9168166113086045,1.2123490050435066,-0.3347236281260848,0.9968923991546035,1.3125944649800658,1.0520831713409196,1.3852633930922356,0.6326262685958505,2.2759387778731197,0.7414692036576613,True,False,False,False
606808,9890557.047911337,9.890557047911336,TARGET_LT_10MJ,7.65044653927208,2.7659440593171944,1.071013091369678,1.004069560364213,2.085653037764132,0.9844250925816596,-0.38146121613681316,0.918986608274281,1.0635426230728626,1.2280610718300145,1.4212343051227,0.6405519723122409,2.239522695158262,0.743964689713244,True,False,False,False
826757,7061861.556401897,7.061861556401897,TARGET_LT_10MJ,10.170643349621484,3.189144610960984,0.9107397749813594,0.6854457587836625,1.323580240830779,1.792766712140292,-0.3658030675724149,0.8468253347091377,1.0280547374859452,1.1112285043951151,1.3490429272114366,0.48789425182912927,2.2715809374283005,0.7440982817856505,True,False,False,False
474141,7962330.388827394,7.962330388827394,TARGET_LT_10MJ,7.756863864073885,2.7851146949585193,0.7627713723219728,0.9102367442238681,0.972483760677278,2.1908650868572295,-0.1890205116942525,0.9116815598681569,1.0420245416462421,1.0149618807115208,1.1600708351387272,0.6625987013050487,1.5249190999781592,0.7442695686646261,True,False,False,False
764962,9750748.247414839,9.750748247414839,TARGET_LT_10MJ,7.636932919320852,2.763500121100206,0.7449003467544199,1.0717092469725276,1.896297812461853,0.7844827785156667,-0.3652730891481042,0.9818500969558954,1.1459561930969357,1.1983736072996223,1.3986693703922963,0.5433171943622928,2.343552555628494,0.7449934859556994,True,False,False,False
