success,omega,epsilon,chi,m_x_gev,m_x_eV,F_gev,M_c_gev,M_m_gev,y_center,u_center,E_x_on_J,E_on_J,E_inventory_J,noether_charge,E_over_QmX,source_leak_fraction,payload_x_overlap_fraction,payload_backreaction_ratio,surface_min_acceleration_mps2,surface_max_acceleration_mps2,a_cm_mps2,scalar_charge_kg,alpha_eff_tail,scalar_energy_identity_relerr,scalar_fixed_x_hessian,DEC_margin_normalized,conservation_rel,source_containment_pass,payload_overlap_pass,backreaction_pass,noether_decay_pass,scalar_identity_pass,scalar_fixed_x_stability_pass,DEC_pass,conservation_pass,finite_payload_1g_pass,prefilter_pass,target_83gj_pass,target_1tj_pass,chi_factor,chi_critical
True,0.4,0.02,0.3234386669658359,2.989802733333333e-15,2.989802733333333e-06,34.26578322795384,105.94213595238833,1258781646.4502432,7.161099493492415,1.69949090230302,209398714705.01538,251930728916.28656,321147525722.2063,9.525082678628771e+35,0.552153031351653,1.9599743248147118e-06,3.2169671844134365e-18,0.0060860363903097,9.80665,14.293440486796891,11.821779707133375,-17110496107.157055,7343954813059429.0,2.2045713613251302e-10,0.002030672606394727,0.0,9.182005703404918e-07,True,True,True,True,True,True,True,True,True,True,False,True,1.875,0.17250062238177916
True,0.4,0.02,0.27600099581084664,2.989802733333333e-15,2.989802733333333e-06,33.76370781670006,122.33183332367229,1258781646.4502432,8.130272400543806,1.495523032204041,266484282063.8019,309464558868.3833,371417098396.38354,1.1930681362255273e+36,0.5414928715315004,1.4099694524727494e-06,1.964553742480898e-18,0.006086036390309701,9.80665,14.29344048679688,11.821779707133382,-17110496107.157045,5770751981305112.0,2.070677498057989e-10,0.001980416459476516,0.0,9.289197640525365e-07,True,True,True,True,True,True,True,True,True,True,False,True,1.6,0.17250062238177916
True,0.4,0.02,0.21562577797722393,2.989802733333333e-15,2.989802733333333e-06,38.22107824625259,177.25653493196808,1258781646.450243,9.796769210042378,1.0662309762075972,513532610203.92,557405137148.8619,609709248441.6832,2.235534149475241e+36,0.5205191718784932,8.548053058751663e-07,9.187808044015625e-19,0.006086036390309703,9.80665,14.293440486796884,11.821779707133386,-17110496107.15705,2994580418360775.0,1.8415107899911235e-10,0.0017868367641657057,0.0,9.606070333254042e-07,True,True,True,True,True,True,True,True,True,True,False,True,1.25,0.17250062238177916
True,0.4,0.02,0.1897506846199571,2.989802733333333e-15,2.989802733333333e-06,50.91812185275448,268.3422299884506,1258781646.4502425,10.71966886182196,0.7197856798415654,1117489142051.8845,1161956604902.7903,1210007017280.1873,4.784830978281319e+36,0.5069561307590095,6.700018388078681e-07,6.297864759942346e-19,0.006086036390309707,9.80665,14.293440486796877,11.821779707133377,-17110496107.157038,1376133906663904.5,3.0049141721598435e-10,0.0014138268701000415,0.0,9.160119781169038e-07,True,True,True,True,True,True,True,True,True,True,False,False,1.1,0.17250062238177916
True,0.4,0.025,0.8726205147841319,2.3918421866666665e-15,2.3918421866666666e-06,46.73589839376975,53.55810183460016,1258781646.454834,3.029844868153298,2.4852307012153148,83640524374.81311,115174165909.12492,217753371134.51343,5.128105837826343e+35,0.5860776778204013,0.0008949042576350809,1.3810159028106254e-12,0.006086036390265308,9.806649999999998,14.293440486813816,11.82177970721312,-17110496107.385363,1.8386000210084308e+16,2.7581348290785325e-10,0.0023595598750072617,0.0,8.975130652920563e-07,False,True,True,True,True,True,True,True,True,False,False,False,5.0,0.17452410295682638
True,0.4,0.025,0.5453878217400825,2.3918421866666665e-15,2.3918421866666666e-06,33.825412760390755,62.02084353931735,1258781646.4548492,4.6680490555088685,2.1849652747255353,104611549145.24165,136715759957.6723,213089373882.29352,6.214189903337392e+35,0.5741047558890786,0.0004989418964329674,4.745972836640032e-13,0.006086036390265162,9.806650000000001,14.293440486819772,11.82177970721397,-17110496107.385529,1.470023827476069e+16,2.790265419476414e-10,0.0023303837382631257,0.0,8.965512759353011e-07,False,True,True,True,True,True,True,True,True,False,False,False,3.125,0.17452410295682638
True,0.4,0.025,0.34904820591365276,2.3918421866666665e-15,2.3918421866666666e-06,27.415192813468856,78.54271229301435,1258781646.4548542,6.843977885968177,1.7783451957271375,151735610779.0572,184567971025.71405,240679078235.62158,8.68459524668919e+35,0.5545795360620229,0.0002692401981380415,1.4786461697276717e-13,0.006086036390265114,9.80665,14.293440486821789,11.821779707214256,-17110496107.385582,1.0134830517577796e+16,2.542263148099341e-10,0.00227062532998034,0.0,9.12562642760481e-07,False,True,True,True,True,True,True,True,True,False,False,False,2.0,0.17452410295682638
True,0.4,0.025,0.32723269304404945,2.3918421866666665e-15,2.3918421866666666e-06,26.971245695543633,82.42222207275903,1258781646.4548547,7.213667732053396,1.7047639312384144,164128141348.49423,197092682964.90677,250722629418.0445,9.336710711503476e+35,0.5508504179713686,0.00024596642521832363,1.2406943292579938e-13,0.006086036390265108,9.80665,14.293440486821932,11.821779707214272,-17110496107.38559,9369597962251000.0,2.4862684389055254e-10,0.00225582408079237,0.0,9.164719296757996e-07,False,True,True,True,True,True,True,True,True,False,False,False,1.875,0.17452410295682638
True,0.4,0.025,0.27923856473092223,2.3918421866666665e-15,2.3918421866666666e-06,26.608947807096133,95.29109216249141,1258781646.4548552,8.180896032723037,1.4996724436802609,209042161483.48108,242374330618.88205,290386019892.31335,1.1703056932962393e+36,0.5404361476306481,0.00019752125866518187,8.049857103652297e-14,0.006086036390265104,9.80665,14.293440486822181,11.821779707214308,-17110496107.3856,7356481045802895.0,2.333603229277426e-10,0.0022042663761375797,0.0,9.277232497688268e-07,False,True,True,True,True,True,True,True,True,False,False,False,1.6,0.17452410295682638
True,0.4,0.025,0.21815512869603298,2.3918421866666665e-15,2.3918421866666666e-06,30.24339085980707,138.63249991223805,1258781646.4548557,9.837240539868104,1.0669601240760118,404854473437.56323,438923342305.5913,479487544545.8586,2.2032330923114344e+36,0.5198586998034727,0.00014320935587718882,4.158466373181699e-14,0.006086036390265098,9.80665,14.29344048682239,11.821779707214343,-17110496107.385603,3798438203410537.5,2.0773669958808945e-10,0.001999974268533993,0.0,9.648624699796298e-07,False,True,True,True,True,True,True,True,True,False,False,False,1.25,0.17452410295682638
