radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
1.719269905744000975e+21,5.571774303500123815e-02,-4.489899749788444136e-11,5.618926295784070796e-15,-4.489337857158865776e-11
1.723235217136096903e+21,5.584625002535826416e-02,-4.469260238292823231e-11,5.631885745825964258e-15,-4.468697049718240519e-11
1.727209674093054657e+21,5.597505340328723378e-02,-4.448715604068077418e-11,5.644875085447567759e-15,-4.448151116559532664e-11
1.731193297708135481e+21,5.610415385237418895e-02,-4.428265410975183750e-11,5.657894383585982724e-15,-4.427699621536825230e-11
1.735186109123253240e+21,5.623355205778188953e-02,-4.407909224879982134e-11,5.670943709337311804e-15,-4.407342130509048582e-11
1.739188129529081889e+21,5.636324870625332439e-02,-4.387646613643981349e-11,5.684023131957022544e-15,-4.387078211330785799e-11
1.743199380165168464e+21,5.649324448611531962e-02,-4.367477147115179923e-11,5.697132720860303154e-15,-4.366907433843094202e-11
1.747219882320048161e+21,5.662354008728232718e-02,-4.347400397118927082e-11,5.710272545622451419e-15,-4.346829369864365005e-11
1.751249657331356795e+21,5.675413620126001923e-02,-4.327415937448830226e-11,5.723442675979230478e-15,-4.326843593181232089e-11
1.755288726585939591e+21,5.688503352114886169e-02,-4.307523343857734134e-11,5.736643181827232488e-15,-4.306949679539551202e-11
1.759337111519972033e+21,5.701623274164796529e-02,-4.287722194048676910e-11,5.749874133224272262e-15,-4.287147206635354616e-11
1.763394833619068649e+21,5.714773455905869382e-02,-4.268012067665946737e-11,5.763135600389737528e-15,-4.267435754105907880e-11
1.767461914418396266e+21,5.727953967128827234e-02,-4.248392546286167070e-11,5.776427653704967578e-15,-4.247814903520796305e-11
1.771538375502792491e+21,5.741164877785364523e-02,-4.228863213409388929e-11,5.789750363713635082e-15,-4.228284238373017259e-11
1.775624238506877649e+21,5.754406257988511214e-02,-4.209423654450265277e-11,5.803103801122108168e-15,-4.208843344070153247e-11
1.779719525115170914e+21,5.767678178013006807e-02,-4.190073456729240248e-11,5.816488036799841704e-15,-4.189491807925560501e-11
1.783824257062201197e+21,5.780980708295662546e-02,-4.170812209463811409e-11,5.829903141779726760e-15,-4.170229219149633175e-11
1.787938456132628775e+21,5.794313919435755550e-02,-4.151639503759778447e-11,5.843349187258497659e-15,-4.151055168841052676e-11
1.792062144161358021e+21,5.807677882195391023e-02,-4.132554932602576511e-11,5.856826244597095644e-15,-4.131969249978116492e-11
1.796195343033650381e+21,5.821072667499870706e-02,-4.113558090848646395e-11,5.870334385321037277e-15,-4.112971057410114182e-11
