sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
1962707,0.03061950902111867,913050544859.0615,937554332694.3676,0.05428047553420023,8.659296970296115e-06,1.0000000000749836,3.7491787452381686e-11,26672507979.78357,1701887.6364929108,6.380680953522844e-05
5087955,0.0304092763452517,906775920945.5476,924724087841.8846,1.012309758653744,8.659243064342696e-06,1.0000000000749825,3.7491343363171836e-11,26672823918.662544,7299172.643437627,0.0002736557878421907
3757651,0.03207604124328591,956358461272.0747,1000000000000.0,1.1180817275764139,8.658167392655044e-06,1.0000000000749638,3.7482017489764985e-11,26679460364.50852,8091487.678104064,0.0003032852826689144
1309907,0.03115226533201207,928610431219.4397,970463635316.081,0.028487039056678022,8.656253399029295e-06,1.0000000000749307,3.746536414439561e-11,26691319378.236675,1254365.5776745884,4.699526313777361e-05
3496531,0.032671130815676734,972773828843.9457,1000000000000.0,6.422327657588483,8.64636864378376e-06,1.0000000000747598,3.737987697149947e-11,26752361993.124176,19752461.99621155,0.0007383445993026066
1179347,0.030024314112452877,892950119704.1864,901459437923.237,0.31555834714891073,8.63654701320129e-06,1.00000000007459,3.729505593241811e-11,26813205530.837307,4023683.1116552376,0.00015006348670350823
518355,0.03132934473013038,931407790527.8104,981527841219.3484,3.768684104495422,8.633255446594938e-06,1.000000000074533,3.7266634222987705e-11,26833654845.683807,14509652.731349783,0.0005407259210417868
9470163,0.03168737298464096,941880352641.4066,1000000000000.0,0.6110677548389983,8.631684114190577e-06,1.000000000074506,3.725308950208728e-11,26843411200.67291,5909377.828049197,0.00022014258112996684
3888211,0.033320020581386854,990285530382.1453,1000000000000.0,8.042827117234687,8.630604372946929e-06,1.0000000000744873,3.7243763628680426e-11,26850132816.05962,22543454.483664293,0.0008396030901635089
6320339,0.031779911414532645,944341467059.3708,1000000000000.0,3.7947038923672634,8.62903866088351e-06,1.0000000000744604,3.723021890778e-11,26859901159.244324,14769046.829996275,0.0005498548465400156
7144019,0.03289359815691753,976922721327.1549,1000000000000.0,0.8386040375143938,8.624518629035646e-06,1.0000000000743823,3.7191139057313194e-11,26888125111.171124,7186223.1000341615,0.0002672638226102468
4051667,0.03058579081819558,908023171542.5631,935490599974.417,1.6521388018286143,8.621111339093572e-06,1.0000000000743237,3.716182916946309e-11,26909332030.98969,9378941.314370926,0.000348538614915072
