source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,B_dimensionless,x_opt_ln_Gamma,Gamma_opt,energy_reduction_factor,E_baseline_J,E_min_J
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,0.25,2.749425681767426e+19,1.8185616120330362e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,0.5,1.374712840883713e+19,3.6371232240660723e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,1.0,6.873564204418565e+18,7.274246448132145e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,2.0,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,5.0,1.374712840883713e+18,3.6371232240660726e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,2.0,10.0,6.873564204418565e+17,7.274246448132145e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,0.25,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,0.5,4.295977627761603e+16,1.1638794317011432e-17,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,1.0,2.1479888138808016e+16,2.3277588634022864e-17,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,2.0,1.0739944069404008e+16,4.655517726804573e-17,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,5.0,4295977627761603.5,1.163879431701143e-16,1.0000000000000002,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.25,10.0,2147988813880801.8,2.327758863402286e-16,1.0000000000000002,1.0000000000000002,1.3205545860329042e+24,1.320554586032904e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,0.25,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,0.5,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,1.0,4.295977627761603e+16,1.1638794317011432e-17,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,2.0,2.1479888138808016e+16,2.3277588634022864e-17,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,5.0,8591955255523207.0,5.819397158505715e-17,1.0,1.0000000000000002,1.3205545860329042e+24,1.320554586032904e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,0.5,10.0,4295977627761603.5,1.163879431701143e-16,1.0000000000000002,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,1.0,0.25,3.4367821022092826e+17,1.454849289626429e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,1.0,0.5,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_CM,9.80665,0.01,OPTIMISTIC_DISK,1.0,1.0,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329042e+24,1.3205545860329042e+24
