sample_index,g,m_gev,mmax_gev,alpha,kr,epsilon,cs_over_c,ppn_alpha2,frequency_hz,growth_rate_per_s,required_time_s,required_time_years
9306912,0.03495751998896449,734819834956.3745,1000000000000.0,3.2879853880842007,1.3485205260026938,6.104165396957732e-06,0.06338778176984845,9.273453041549636e-09,40785327.12061888,0.009548527508379718,5.531971646409336e+21,175297603316137.34
6209408,0.055190280888634584,848960876036.253,1000000000000.0,6.790276984815474,1.0996813315672476,4.466950178643463e-06,0.1438157165480513,9.647382958800375e-10,75459519.6769778,0.00946054426688865,5.583419087862707e+21,176927874358718.88
2253600,0.03503476923916252,814562911693.7426,1000000000000.0,6.58415808422111,0.767426553094309,6.751673112392395e-06,0.08989786673825527,5.640583629304138e-09,32917515.02562258,0.009428220386371271,5.602561382386858e+21,177534457068562.2
2067360,0.03320622945881378,995915955149.9791,1000000000000.0,0.7853220292646723,1.4048505676918568,8.709418551504188e-06,0.029426828260287672,8.759744013043579e-08,19724882.304675,0.00940096883785452,5.618802099270783e+21,178049094331342.78
960928,0.03096758646996373,653063953667.4666,958991411774.6807,4.183298725598514,1.30956920851365,6.123988844424407e-06,0.06333835765621404,9.348354774357222e-09,39576381.85821688,0.009325770807462204,5.664109115682904e+21,179484787046001.75
9273248,0.03224093971143911,785149375805.7249,1000000000000.0,1.6165510028765369,1.5165927120906928,7.071810830702234e-06,0.040992310450240974,2.976161371061321e-08,29662803.608781267,0.00932080311832205,5.667127904191301e+21,179580446681347.78
4817408,0.06435271950351368,923003612303.4114,1000000000000.0,9.675587747807318,0.8944721110375914,4.165072186075943e-06,0.20017303897673872,4.3294616818172806e-10,85430553.72462621,0.009311896817418798,5.672548190451081e+21,179752205188324.88
5219360,0.03661916008875292,918962197310.723,1000000000000.0,4.5399249773516095,0.7474471546070816,7.287445236869424e-06,0.07802480950146283,8.72338769583794e-09,27826209.113649093,0.009285055868723541,5.688946215094546e+21,180271827233203.6
671232,0.0656377881895738,960320544544.9279,1000000000000.0,4.758143038412904,1.1917314427486956,4.248624200097718e-06,0.14317681094079238,8.805444158026398e-10,81412654.88787723,0.009233543995223536,5.720683571621127e+21,181277523373803.03
5315200,0.060957658162997884,912637173586.4214,1000000000000.0,3.9412619833810205,1.3315730143102484,4.347663437059847e-06,0.12101687284283266,1.290684163457753e-09,76886792.90020794,0.009131527855715717,5.784594240519463e+21,183302730262106.84
9081984,0.06305309901425937,877632454216.1927,1000000000000.0,5.997292172360622,1.1817928103725879,4.041962450934033e-06,0.15441306382308373,6.851986031727855e-10,87069533.64509359,0.008937800077896836,5.909975942731741e+21,187275836652081.94
1229472,0.030714626807605838,563864053335.3278,943388299930.4993,8.3060899959289,1.1848530790513936,5.331080036118568e-06,0.08852043899634929,3.6269643537497154e-09,50043640.44347909,0.008936329399963852,5.910948564802217e+21,187306657185661.06
5806496,0.03093228575731827,775550233433.6797,956806302172.3948,6.129691230587927,0.7327125098624517,7.28088138538043e-06,0.07658281268983586,9.038685724083833e-09,26773537.313385043,0.008917713878580834,5.923287533163411e+21,187697655498625.1
6813952,0.07439053745801892,868625691554.372,1000000000000.0,7.692050427643081,1.2512582028221741,3.3907909132431173e-06,0.20631877843405133,2.7009995121413406e-10,123176122.8563822,0.008898328193037503,5.936191866090857e+21,188106569133611.47
1779104,0.03150453713422035,874552236274.3121,992535860041.469,7.925408702279054,0.5148039271889935,8.061181284453121e-06,0.08869189558232202,8.26094064618296e-09,21785454.40020047,0.008894957289659666,5.938441492318535e+21,188177855487062.88
1676320,0.03685616461873306,746611063053.1976,1000000000000.0,2.800133463141855,1.387779857221304,5.8826135432698705e-06,0.06167362913143788,9.097909809604395e-09,40837666.58979603,0.008879355098529863,5.948876112642668e+21,188508508652200.03
3373184,0.061461931872492125,930699103218.5977,1000000000000.0,4.646635781446081,1.1550385034422028,4.397330673027747e-06,0.13248768850303783,1.1016083121343359e-09,73015122.70719486,0.008870966478232364,5.954501527080685e+21,188686767278902.22
4332736,0.04786197942533301,878620289471.438,1000000000000.0,8.16952600823656,0.757928488281172,5.330851796496719e-06,0.136800941270701,1.518500874928275e-09,49471850.0302997,0.008833467945133802,5.979778697268605e+21,189487752467507.2
9435008,0.0544732163053016,690511355125.7084,1000000000000.0,7.813935310686632,1.4118081759236674,3.68106802314718e-06,0.15227125395625868,5.844021937285562e-10,102573329.15455961,0.008732970750639977,6.048592735461209e+21,191668337752592.38
