radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.665433096170784686e+21,5.397301086025484140e-02,5.746426953428431467e-32,-2.872723245982233747e-32,9.804614639639725839e-36
1.666968030480738025e+21,5.402275469347838505e-02,5.730568639516744184e-32,-2.864794089026390106e-32,9.804614639639725839e-36
1.668504379451743928e+21,5.407254437274434250e-02,5.714754092005620103e-32,-2.856886815270828065e-32,9.804614639639725839e-36
1.670042144387613327e+21,5.412237994030633104e-02,5.698983190106829714e-32,-2.849001364321432871e-32,9.804614639639725839e-36
1.671581326593360396e+21,5.417226143845699921e-02,5.683255813365486136e-32,-2.841137675950761082e-32,9.804614639639725839e-36
1.673121927375202812e+21,5.422218890952796438e-02,5.667571841659129896e-32,-2.833295690097582962e-32,9.804614639639725839e-36
1.674663948040558871e+21,5.427216239588977809e-02,5.651931155196853117e-32,-2.825475346866444572e-32,9.804614639639725839e-36
1.676207389898055877e+21,5.432218193995215494e-02,5.636333634518312040e-32,-2.817676586527174034e-32,9.804614639639725839e-36
1.677752254257523327e+21,5.437224758416378534e-02,5.620779160492890624e-32,-2.809899349514463325e-32,9.804614639639725839e-36
1.679298542430000775e+21,5.442235937101255749e-02,5.605267614318727300e-32,-2.802143576427381664e-32,9.804614639639725839e-36
1.680846255727735996e+21,5.447251734302553661e-02,5.589798877521836973e-32,-2.794409208028936500e-32,9.804614639639725839e-36
1.682395395464183415e+21,5.452272154276888161e-02,5.574372831955227542e-32,-2.786696185245631785e-32,9.804614639639725839e-36
1.683945962954011967e+21,5.457297201284810190e-02,5.558989359797939794e-32,-2.779004449166987911e-32,9.804614639639725839e-36
1.685497959513098289e+21,5.462326879590785611e-02,5.543648343554215387e-32,-2.771333941045125707e-32,9.804614639639725839e-36
1.687051386458534314e+21,5.467361193463220193e-02,5.528349666052541112e-32,-2.763684602294288570e-32,9.804614639639725839e-36
1.688606245108626489e+21,5.472400147174451973e-02,5.513093210444775279e-32,-2.756056374490405653e-32,9.804614639639725839e-36
1.690162536782893154e+21,5.477443745000749875e-02,5.497878860205286134e-32,-2.748449199370661081e-32,9.804614639639725839e-36
1.691720262802072404e+21,5.482491991222334521e-02,5.482706499129998320e-32,-2.740863018833017173e-32,9.804614639639725839e-36
1.693279424488115536e+21,5.487544890123358804e-02,5.467576011335583843e-32,-2.733297774935809935e-32,9.804614639639725839e-36
1.694840023164196225e+21,5.492602445991934951e-02,5.452487281258492116e-32,-2.725753409897264072e-32,9.804614639639725839e-36
1.696402060154705805e+21,5.497664663120124806e-02,5.437440193654126692e-32,-2.718229866095081360e-32,9.804614639639725839e-36
1.697965536785255629e+21,5.502731545803940527e-02,5.422434633595954129e-32,-2.710727086065995078e-32,9.804614639639725839e-36
1.699530454382680474e+21,5.507803098343361931e-02,5.407470486474606279e-32,-2.703245012505321153e-32,9.804614639639725839e-36
1.701096814275035398e+21,5.512879325042321921e-02,5.392547637997039513e-32,-2.695783588266537770e-32,9.804614639639725839e-36
1.702664617791602033e+21,5.517960230208729389e-02,5.377665974185617307e-32,-2.688342756360826667e-32,9.804614639639725839e-36
1.704233866262886744e+21,5.523045818154461578e-02,5.362825381377267271e-32,-2.680922459956651649e-32,9.804614639639725839e-36
1.705804561020620374e+21,5.528136093195363393e-02,5.348025746222626143e-32,-2.673522642379331085e-32,9.804614639639725839e-36
1.707376703397763482e+21,5.533231059651266132e-02,5.333266955685132223e-32,-2.666143247110584125e-32,9.804614639639725839e-36
1.708950294728502411e+21,5.538330721845974303e-02,5.318548897040215255e-32,-2.658784217788125641e-32,9.804614639639725839e-36
1.710525336348255584e+21,5.543435084107283667e-02,5.303871457874382290e-32,-2.651445498205209159e-32,9.804614639639725839e-36
1.712101829593672450e+21,5.548544150766979155e-02,5.289234526084381293e-32,-2.644127032310208660e-32,9.804614639639725839e-36
1.713679775802631127e+21,5.553657926160830011e-02,5.274637989876377878e-32,-2.636828764206206953e-32,9.804614639639725839e-36
1.715259176314247053e+21,5.558776414628612689e-02,5.260081737765031325e-32,-2.629550638150533676e-32,9.804614639639725839e-36
1.716840032468865647e+21,5.563899620514090733e-02,5.245565658572719488e-32,-2.622292598554377758e-32,9.804614639639725839e-36
1.718422345608070431e+21,5.569027548165041835e-02,5.231089641428629048e-32,-2.615054589982332538e-32,9.804614639639725839e-36
1.720006117074681987e+21,5.574160201933249514e-02,5.216653575767925677e-32,-2.607836557151980852e-32,9.804614639639725839e-36
1.721591348212755071e+21,5.579297586174498946e-02,5.202257351330948295e-32,-2.600638444933492161e-32,9.804614639639725839e-36
1.723178040367587262e+21,5.584439705248602642e-02,5.187900858162298224e-32,-2.593460198349167126e-32,9.804614639639725839e-36
1.724766194885711888e+21,5.589586563519378937e-02,5.173583986610071762e-32,-2.586301762573053895e-32,9.804614639639725839e-36
1.726355813114906935e+21,5.594738165354677661e-02,5.159306627324954807e-32,-2.579163082930495417e-32,9.804614639639725839e-36
1.727946896404191642e+21,5.599894515126371819e-02,5.145068671259428061e-32,-2.572044104897732044e-32,9.804614639639725839e-36
