mu,z_m,rho_m,axial_accel_mps2
-0.668,0.13319999700712054,0.07441612728434609,65.07628007571925
-0.666,0.13339999700712057,0.07459517410664045,64.72835937347115
-0.664,0.13359999700712055,0.0747732572515067,64.38366427273593
-0.662,0.13379999700712056,0.07495038358807779,64.04215320796122
-0.66,0.13399999700712056,0.07512655988397181,63.7037852941029
-0.658,0.13419999700712054,0.07530179280734291,63.368520313161895
-0.656,0.13439999700712058,0.07547608892887867,63.036318701032336
-0.654,0.13459999700712055,0.07564945472374537,62.70714153465373
-0.652,0.13479999700712056,0.07582189657348332,62.38095051945781
-0.65,0.13499999700712056,0.07599342076785331,62.0577079771035
-0.648,0.13519999700712054,0.0761640335066362,61.73737683349148
-0.646,0.13539999700712058,0.07633374090138646,61.41992060705189
-0.644,0.13559999700712055,0.07650254897714193,61.10530339729753
-0.642,0.13579999700712056,0.0766704636740903,60.79348987363572
-0.64,0.13599999700712057,0.0768374908491942,60.48444526443247
-0.638,0.13619999700712054,0.07700363627777589,60.17813534632188
-0.636,0.13639999700712058,0.07716890565506292,59.87452643375515
-0.634,0.13659999700712055,0.07733330459769581,59.57358536878267
-0.632,0.13679999700712056,0.07749683864519895,59.275279511062784
-0.63,0.13699999700712057,0.0776595132614157,58.979576728092965
-0.628,0.13719999700712054,0.07782133383590903,58.686445385655865
-0.626,0.13739999700712058,0.07798230568532839,58.39585433847611
-0.624,0.13759999700712056,0.07814243405474391,58.10777292108237
-0.622,0.13779999700712056,0.078301724118949,57.82217093886853
-0.62,0.13799999700712057,0.07846018098373213,57.53901865935094
-0.618,0.13819999700712057,0.07861780968711862,57.25828680361462
-0.616,0.13839999700712058,0.0787746152005835,56.979946537945395
-0.614,0.13859999700712056,0.07893060243023614,56.70396946564252
-0.6120000000000001,0.13879999700712056,0.07908577621797741,56.43032761900765
-0.6100000000000001,0.13899999700712057,0.07924014134263013,56.15899345150573
-0.6080000000000001,0.13919999700712055,0.07939370252104383,55.8899398300935
-0.6060000000000001,0.13939999700712055,0.07954646440917408,55.623140027711564
-0.6040000000000001,0.13959999700712056,0.0796984316031376,55.35856771593626
-0.6020000000000001,0.13979999700712056,0.07984960864024318,55.096196957786994
-0.6000000000000001,0.13999999700712057,0.08,54.836002200685705
-0.5980000000000001,0.14019999700712055,0.08014961010510283,54.57795826956452
-0.5960000000000001,0.14039999700712055,0.08029844332239573,54.322040360118045
-0.5940000000000001,0.14059999700712056,0.08044650396381436,54.0682240321969
