bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
63,4.338836353166673,-3.4994844429781206e-14,-2.7390036354053848e-05,1.4521947047827056e-17,2.647519226524346e-19,1.425719512517462e-17
64,4.407164484712606,-2.961801257570971e-14,-2.227395627754647e-05,9.506019605651646e-18,2.1808228638168223e-19,9.287937319269963e-18
65,4.475492616258537,-5.966937290031918e-14,-1.7913567163393984e-05,1.27971216937531e-17,4.258277076095459e-19,1.2371293986143553e-17
66,4.543820747804469,-2.2234586485643837e-14,-1.4424023544498676e-05,1.3352590131276081e-17,1.5632565595984722e-19,1.3196264475316233e-17
67,4.612148879350402,-5.165045426207289e-15,-1.1705142521504022e-05,6.735010594883212e-19,3.511494873486193e-20,6.3838611075345925e-19
68,4.6804770108963325,-1.933778401687696e-15,-8.345593278232845e-06,5.340724045553659e-19,1.2616002231810761e-20,5.214564023235551e-19
69,4.748805142442265,-1.476176304072806e-15,-7.36035168902565e-06,1.002770894852789e-18,9.313732364966392e-21,9.934571624878226e-19
70,4.817133273988198,-1.0800510487615492e-15,-6.007722018632096e-06,1.0116350064378225e-18,6.400862938871849e-21,1.0052341434989507e-18
71,4.885461405534128,-1.466362226505246e-15,-4.197429593064302e-06,2.1615017699207115e-18,8.226151371148014e-21,2.1532756185495634e-18
72,4.953789537080061,-8.047035130425464e-16,-2.9773402055541937e-06,1.2859137847963665e-18,4.25423307732681e-21,1.2816595517190396e-18
73,5.022117668625992,-8.454147896884589e-16,-1.9414227224912213e-06,1.3665420131582162e-18,4.250144273153751e-21,1.3622918688850624e-18
74,5.090445800171924,-6.677875214211472e-16,-1.6549827128685673e-06,1.0042684016180042e-18,3.194613084285209e-21,1.001073788533719e-18
75,5.158773931717857,-6.623779500625852e-16,-1.4010948817077921e-06,1.3692530798758915e-18,2.957765690376068e-21,1.3662953141855154e-18
76,5.2271020632637875,-1.057059717749285e-15,-6.020051254189071e-07,1.80296341169485e-18,4.3942237538336905e-21,1.798569187941016e-18
77,5.29543019480972,-3.288034415095151e-16,-3.1671900788818254e-07,5.479151610234591e-19,1.2943908774136995e-21,5.466207701460454e-19
78,5.3637583263556525,-2.1735900855438436e-16,-1.8057099306590058e-07,4.343171494233677e-19,8.130726285776972e-22,4.3350407679479e-19
79,5.432086457901583,-8.813903260335341e-16,-1.128983831922756e-07,1.579818130177018e-18,3.0920817763917167e-21,1.5767260484006262e-18
