candidate_pass,g_s,gate_energy_fraction,gate_gradient_floor_J,gate_radius_m,gate_total_positive_floor_J,gate_volume_energy_J,lambda_on_max,lambda_s,lambda_width_min,m_s_out_eV,naive_naturalness_cutoff_eV,naturalness_cutoff_over_mX,off_phi_mass_eV,off_phi_range_m,on_curvature_ratio,phi_boundary_eV,required_delta_m2_hat,source_scale_naturalness_pass,v_s_eV,wall_cap_m,wall_width_actual_m
True,1.1855921089623183,4.9652378772116636e-33,3.515875889538755e-22,2.0980500914943576,6.035424743703256e-22,2.519548854164501e-22,1.8607819392627744e+31,0.08562662545875077,0.08154916710357216,8.087999411817099e-07,8.572661488660685e-06,1.4336500186256467,2.3179366180618384e-06,0.08513044699427397,2.6077616806130134e+32,7789772293.110485,0.1501650749306419,True,1.9544371033069612e-06,0.25,0.24397501823713327
True,1.2898086101788073,4.195271930929219e-33,2.97066440657541e-22,2.0980500914943576,5.099503517183566e-22,2.128839110608156e-22,2.606485833841688e+31,0.1013418369596454,0.09651603519966227,8.087999411817097e-07,7.879990669586447e-06,1.3178111354525788,2.3179366180618384e-06,0.08513044699427397,3.086368961177916e+32,7789772293.110485,0.1501650749306419,True,1.7965186376160676e-06,0.25,0.24397501823713333
True,1.4031860015899118,3.544705613243734e-33,2.5099995829635967e-22,2.0980500914943576,4.308716822109077e-22,1.7987172391454799e-22,3.651028773800882e+31,0.11994129002903241,0.1142298000276499,8.087999411817099e-07,7.243287634173288e-06,1.2113320309426805,2.3179366180618384e-06,0.08513044699427397,3.652815913102617e+32,7789772293.110485,0.1501650749306419,True,1.65135997973069e-06,0.25,0.24397501823713327
True,1.5265295482753287,2.9950234672341236e-33,2.1207706574100017e-22,2.0980500914943576,3.640558456439523e-22,1.5197877990295215e-22,5.114169789089142e+31,0.14195433480801195,0.135194604579059,8.087999411817097e-07,6.658030186997807e-06,1.1134564352302208,2.3179366180618384e-06,0.08513044699427397,4.323223912258152e+32,7789772293.110485,0.1501650749306419,True,1.5179301375213046e-06,0.25,0.24397501823713333
True,1.6607153001222132,2.5305812521549805e-33,1.7918999715612634e-22,2.0980500914943576,3.0760122843872077e-22,1.284112312825944e-22,7.163661053375878e+31,0.1680074740392362,0.16000711813260587,8.087999411817097e-07,6.120061525905922e-06,1.0234891850344021,2.3179366180618384e-06,0.08513044699427397,5.116673120175276e+32,7789772293.110485,0.1501650749306419,True,1.3952814229948882e-06,0.25,0.24397501823713333
False,1.8066963139861723,2.138160700180476e-33,1.5140276940659804e-22,2.0980500914943576,2.599011027268253e-22,1.0849833332022724e-22,1.003448102116969e+32,0.1988421936619261,0.18937351777326294,8.087999411817098e-07,5.62556071824645e-06,0.9407912862489273,2.3179366180618384e-06,0.08513044699427397,6.055745515399273e+32,7789772293.110485,0.1501650749306419,False,1.2825427213229149e-06,0.25,0.2439750182371333
False,1.9655094227957095,1.8065933176036555e-33,1.2792454348897155e-22,2.0980500914943576,2.1959789803660296e-22,9.167335454763139e-23,1.4055775198459916e+32,0.23533606588867045,0.22412958656063853,8.087999411817097e-07,5.171015562624272e-06,0.8647753754742046,2.3179366180618384e-06,0.08513044699427397,7.167167588384466e+32,7789772293.110485,0.1501650749306419,False,1.1789133037317142e-06,0.25,0.24397501823713333
False,2.138282599677844,1.526442523676862e-33,1.0808711684073437e-22,2.0980500914943576,1.8554456412899563e-22,7.745744728826126e-23,1.9688593362510824e+32,0.27852772536858955,0.26526450035103766,8.087999411817098e-07,4.753197643423061e-06,0.79490154825762,2.3179366180618384e-06,0.08513044699427397,8.482570991360776e+32,7789772293.110485,0.1501650749306419,False,1.083657140311113e-06,0.25,0.2439750182371333
False,2.3262429694086837,1.289735080598901e-33,9.13259059466547e-23,2.0980500914943576,1.5677192534912444e-22,6.544601940246972e-23,2.757874988188335e+32,0.32964642927149057,0.31394898025856244,8.087999411817098e-07,4.369139400921998e-06,0.7306735244119001,2.3179366180618384e-06,0.08513044699427397,1.0039392791664069e+33,7789772293.110485,0.1501650749306419,False,9.960976723480066e-07,0.25,0.2439750182371333
False,2.53072552409051,1.0897341710060924e-33,7.716387799728965e-23,2.0980500914943576,1.324610973813522e-22,5.529721938406253e-23,3.863086768279347e+32,0.39014704258845223,0.3715686119890021,8.087999411817097e-07,4.016113054146352e-06,0.6716351231756325,2.3179366180618384e-06,0.08513044699427397,1.1881940950210412e+33,7789772293.110485,0.1501650749306419,False,9.156130070552181e-07,0.25,0.24397501823713333
