Gamma,k_opt_exact,b_opt_exact,lambda_min,lambda_max,condition_number,condition_over_4Gamma,tuning_digits,k_opt_numeric,condition_numeric,k_error,condition_relerr
33400271725.70383,1.0,0.9999999999850301,1.4969938092418503e-11,1.9999999999850302,133601086900.81534,0.9999999999850302,10.52375,0.9999999644149515,133601086900.81514,3.558504846346011e-08,1.4847503296119473e-15
59309600676.86679,1.0,0.9999999999915696,8.430338331330703e-12,1.9999999999915696,237238402705.4672,0.9999999999915697,10.773125,0.9999999125962256,237238402705.46744,8.740377444027558e-08,1.0290940345906052e-15
105317368712.97182,1.0,0.9999999999952525,4.747554996022251e-12,1.9999999999952525,421269474849.88727,0.9999999999952525,11.0225,0.9999999459810442,421269474849.8875,5.401895575296578e-08,5.795355219767481e-16
187014379224.2771,1.0,0.9999999999973264,2.673591207663466e-12,1.9999999999973264,748057516895.1083,0.9999999999973262,11.271875,0.9999999459810451,748057516895.1085,5.401895486478736e-08,3.2636611421716804e-16
332085566360.47174,1.0,0.9999999999984943,1.505636048805678e-12,1.9999999999984943,1328342265439.8867,0.9999999999984942,11.52125,0.9999999461426908,1328342265439.8857,5.38573091679595e-08,7.351738519564509e-16
589691679551.0198,1.0,0.9999999999991521,8.479007205611288e-13,1.9999999999991522,2358766718202.0796,0.9999999999991523,11.770625,0.9999999999988246,2358766718202.0796,1.1753931161706532e-12,0.0
1047128548050.8986,1.0,0.9999999999995225,4.774962930108325e-13,1.9999999999995226,4188514192201.594,0.9999999999995225,12.02,0.9999999125962247,4188514192201.6,8.7403775328454e-08,1.3989149209305072e-15
1859409305177.9626,1.0,0.9999999999997311,2.689026018142964e-13,1.999999999999731,7437637220709.851,0.9999999999997311,12.269375,0.9999999459810478,7437637220709.8545,5.40189522002521e-08,5.252003941686183e-16
3301794197682.7256,1.0,0.9999999999998486,1.5143281805720938e-13,1.9999999999998486,13207176790728.904,0.9999999999998487,12.51875,0.9999999956708524,13207176790728.88,4.329147595960592e-09,1.7746033366080567e-15
5863068929198.384,1.0,0.9999999999999147,8.527957048398249e-14,1.9999999999999147,23452275716791.535,0.9999999999999147,12.768125,0.9999999999996694,23452275716791.496,3.306244167333716e-13,1.665616611015354e-15
10411181076233.396,1.0,0.9999999999999519,4.802529091933767e-14,1.999999999999952,41644724304931.59,0.9999999999999521,13.0175,1.0000000164258904,41644724304931.516,1.6425890425608713e-08,1.8759879265366726e-15
