sample_index,energy_j,radius_m,thickness_m,gap_m,kappa,rho_active_kg_m3,active_mass_abs_kg,active_energy_abs_j,lever_m
9120072,137806758.77609855,0.47235518219438133,0.37790164098757484,0.0016278700183137251,9.919505448492691,162570354762.64984,43063306473.84281,3.870336970689695e+27,0.14384465538290858
5862600,137832599.95391482,0.5111668621638337,0.4846700309639888,0.005771585680464269,9.899364543738841,132395024403.26169,52673610321.15912,4.7340680058906843e+27,0.17662957321630618
998984,137833664.01646093,0.4928137617022338,0.7511457528568707,0.0036538880445733525,9.998002687690477,111408957948.1498,63849846068.90852,5.738537981598017e+27,0.209901224165421
240072,137860679.8503405,0.5266178969495018,0.40319413837041856,0.00027949490461769724,9.916325791141245,141153750709.22192,49584705003.34225,4.4564510407891235e+27,0.16566953792452616
8723656,137873112.68984795,0.5082447959639189,0.4200956953588602,0.0011729880242347759,9.866012546742288,142563564283.23602,48601819689.46707,4.3681137141941557e+27,0.16403122897412276
7858504,137875306.17307773,0.47206028536864353,0.5030340749556734,0.00045855094179666464,9.750086101003435,138621207055.46274,48817089469.604416,4.387461197166553e+27,0.1686962417442679
2139784,137922696.373442,0.5955187678688595,0.8286013289641919,0.0007157591353827538,9.940360870394542,87302343580.15517,80595780653.7578,7.243587524690144e+27,0.2678608121767101
9447144,137940882.33003104,0.4056299818046274,0.555962516428806,0.0003178515895190109,9.892254596434645,155726717119.35977,44752634766.089905,4.022166225814065e+27,0.1501661184983869
100712,137951866.50933534,0.43761661325556817,0.6916465174603603,0.00034597885601605604,9.964313111924705,130361517033.88023,54246419052.31977,4.875425005119996e+27,0.17938481530736528
8304744,137967648.08026496,0.42425568248256,0.4327707767345264,0.0014182207912294446,9.83266025488351,167755659121.75345,41052566690.400375,3.6896206913435914e+27,0.13939843686190234
9816680,137970547.64954874,0.42324837712390845,0.38848054280832495,0.00014337140610544533,9.839211004236963,177601928832.96603,38829109066.26276,3.489786285904037e+27,0.1316701727845757
