epsilon,omega,chi_factor,chi,chi_critical,X_MATCH,centered_E_J,max_shift_m,source_leak,payload_overlap,promoted_E_J,promoted_backreaction,ceiling_alpha_m,ceiling_E_J,ceiling_backreaction,surface_min_mps2,a_cm_mps2,E_over_QmX,scalar_hessian,conservation_rel,DEC_pass,PASS83
0.00625,0.37,5.0,0.748124849171462,0.1496249698342924,128.0,900239200941.392,0.7118428165819712,0.0001000000000000785,7.845355201760238e-44,171907074334.0668,0.007127318426223944,31.990998263628253,122523645849.9495,0.009999999999999577,9.80665,12.70577558782257,0.5551106317403828,0.0006906820706196078,2.0089833577191355e-06,True,False
0.00625,0.4,2.0,0.3329942279485133,0.16649711397425665,128.0,1056016928832.8494,0.7403483898237683,0.0001000000000000022,2.1755488986113013e-44,186384041558.28928,0.007180558455069715,31.872179475113988,133834150550.14963,0.00999999999999957,9.80665,12.763399583833547,0.5599024637670774,0.0006657424604925007,2.421102465849851e-06,True,False
0.00625,0.4,2.5,0.4162427849356416,0.16649711397425665,128.0,969464440928.558,0.7363935971893326,0.00010000000000016754,3.9218090253501343e-44,173000264546.5855,0.007173113817784432,31.888714503626428,124095058809.95285,0.009999999999999568,9.806650000000001,12.755240268851798,0.5721723918086085,0.00067389402902183,2.398013679511407e-06,True,False
0.00625,0.4,3.125,0.520303481169552,0.16649711397425665,128.0,938494271202.6034,0.7322206530686928,0.00010000000000039784,6.56874750593031e-44,169424263553.21146,0.007165278846123984,31.906144314622345,121397209165.80125,0.009999999999999572,9.80665,12.746689376906046,0.5818310352021945,0.0006791468671765872,2.3860996531157532e-06,True,False
0.00625,0.4,4.0,0.6659884558970266,0.16649711397425665,128.0,939109848089.7148,0.7275256900557061,0.0001000000000000537,1.0677836995935272e-43,171753112191.74335,0.00715648871845158,31.92573304212564,122914920975.92126,0.009999999999999572,9.80665,12.737139859306097,0.5900496200538142,0.0006831514101814135,2.3853114560473833e-06,True,False
0.00625,0.4,5.0,0.8324855698712832,0.16649711397425665,128.0,958071689846.4706,0.7233684436968872,9.999999985514956e-05,1.5403581117015844e-43,177244081475.74078,0.0071487274156898165,31.943059067276884,126706962451.4442,0.00999999999999957,9.80665,12.728746191049346,0.5956451040964589,0.000685785316831589,2.394718960936988e-06,True,False
0.00625,0.43,2.0,0.36848947105938196,0.18424473552969098,128.0,1141930006050.6785,0.7497978930054635,0.00010000000000000712,6.435594143767015e-44,196299906141.74435,0.007198422306190954,31.832607363369558,141304962307.39844,0.009999999999999567,9.80665,12.783116980084753,0.5983353081206583,0.000662941028467058,2.8370201877677953e-06,True,False
0.00625,0.43,2.5,0.46061183882422746,0.18424473552969098,128.0,1044586153139.0768,0.7457855705858139,0.00010000000038354301,1.0886228651547206e-43,181592179082.7554,0.007190824154023316,31.84942081414697,130579742753.00615,0.009999999999999568,9.80665,12.774706359927638,0.6111716282198243,0.0006705458313774116,2.8166860095222293e-06,True,False
0.00625,0.43,3.125,0.5757647985302843,0.18424473552969098,128.0,1006553913903.5908,0.7416053579789842,0.00010000000000001009,1.7199018985531666e-43,177033053473.51578,0.007182928537267289,31.866920762244654,127161577183.4537,0.00999999999999957,9.80665,12.76600428050058,0.6211831696556823,0.0006754305810988078,2.809882398573699e-06,True,False
0.00625,0.43,4.0,0.7369789421187639,0.18424473552969098,128.0,1000637877091.0629,0.7369658394488308,0.00010000000000006518,2.6385472189717688e-43,178279438693.92847,0.00717418986688105,31.886322936784698,127901054255.12782,0.009999999999999568,9.806650000000001,12.756417536429,0.6295892901230714,0.0006791428067506402,2.8174543602162697e-06,True,False
0.00625,0.43,5.0,0.9212236776484549,0.18424473552969098,128.0,1013471234658.1625,0.7329186848066909,0.00010000000000433057,3.634942463838863e-43,182605972591.6729,0.007166587991603053,31.903229978513927,130866177037.05359,0.009999999999999568,9.80665,12.748115574352157,0.635211616543807,0.0006815748199184726,2.835452530270738e-06,True,False
0.0075,0.34,2.0,0.2689669408253903,0.13448347041269515,106.66666666666667,731612582580.3057,0.6671235511204024,0.00010000000000013985,1.32197521622671e-38,157689100882.31516,0.007045764506091026,32.17561165801015,111104026999.44266,0.00999999999999637,9.80665,12.620629209414895,0.4809308577548119,0.0009785668478092592,1.3037158113600432e-06,True,False
0.0075,0.34,2.5,0.3362086760317379,0.13448347041269515,106.66666666666667,676877352816.4852,0.6625022721269764,0.00010000000000010547,2.6458888071650275e-38,147704184938.71335,0.007037473782294067,32.19455883974761,103946432904.16728,0.009999999999996503,9.80665,12.612173802662102,0.4916964034200451,0.000995374346770719,1.19376824477182e-06,True,False
0.0075,0.34,3.125,0.4202608450396723,0.13448347041269515,106.66666666666667,661551485971.5435,0.6574981889231737,0.00010000000000004482,4.880087398918772e-38,146297913333.40042,0.0070285251864998215,32.2150470961591,102825856859.65184,0.009999999999996638,9.80665,12.603087506693443,0.500291497633505,0.0010063211224695156,1.1455799362324667e-06,True,False
0.0075,0.34,4.0,0.5379338816507806,0.13448347041269515,106.66666666666667,670983062455.8057,0.6517160832824226,0.00010000000000003012,8.728678035157079e-38,150681210386.78125,0.007018222660898164,32.238683752441204,105751428530.84097,0.009999999999996801,9.806649999999998,12.592677432971536,0.5077612251500508,0.0010147345620574798,1.1416633423575818e-06,True,False
0.0075,0.34,5.0,0.6724173520634757,0.13448347041269515,106.66666666666667,695009868181.5516,0.6464504556770682,0.0001000000000000151,1.3588468221112727e-37,158269719271.1563,0.007008875219395339,32.26017427651497,110929271338.0604,0.009999999999996938,9.80665,12.583279153552535,0.5129963825063943,0.0010203097056362986,1.0943842595240767e-06,True,False
0.0075,0.37,2.0,0.30110386705683834,0.15055193352841917,106.66666666666667,802379259639.2405,0.6838449942007365,0.00010000000000061898,2.492442814936121e-38,165343225275.42883,0.0070759776448698205,32.106846167849326,116996496578.00923,0.009999999999995868,9.80665,12.65174973949303,0.5206013334941695,0.000971868117554983,1.4004874363921436e-06,True,False
0.0075,0.37,2.5,0.3763798338210479,0.15055193352841917,106.66666666666667,739717064033.7341,0.6791565419675438,9.999999999094997e-05,4.613291042889189e-38,154369469955.43506,0.007067472411625257,32.126159586539806,109100197010.76859,0.009999999999996016,9.80665,12.642939770324046,0.5320939053954014,0.0009872743166904762,1.385951863601842e-06,True,False
0.0075,0.37,3.125,0.4704747922763099,0.15055193352841917,106.66666666666667,719670991782.8984,0.6741491819795788,0.00010000000000015293,7.916281061787266e-38,152221833355.09824,0.007058417837538429,32.146758782437125,107444530381.68399,0.009999999999996163,9.80665,12.633603427378285,0.5412045914779544,0.0009972715019822397,1.3775314594011716e-06,True,False
0.0075,0.37,4.0,0.6022077341136767,0.15055193352841917,106.66666666666667,725130933891.978,0.6684445770373618,0.00010000000000080376,1.3178901745464333e-37,155740534925.60876,0.007048139180526813,32.17019086272234,109768096620.57904,0.009999999999996331,9.80665,12.623057675014408,0.5490400908257164,0.0010049324377976758,1.3748499510301518e-06,True,False
