omega,epsilon,chi,chi_factor,shift_m,max_shift_1e4_m,max_shift_1e6_m,source_leak,payload_overlap,promoted_alpha,promoted_energy_J,promoted_backreaction,ceiling_alpha,ceiling_energy_J,ceiling_backreaction,ceiling_surface_min_mps2,ceiling_a_cm_mps2
0.4,0.02,0.3450012447635583,2.0,0.05967518902376855,0.2387007560950742,0.0,3.357099467842674e-06,6.119741590732924e-21,27.007903507182004,273294987559.56268,0.00615503714563404,34.42512565675167,168214080034.90768,0.009999999998785028,9.80665,11.869749944752765
0.4,0.02,0.3450012447635583,2.0,0.1193503780475371,0.2387007560950742,0.0,8.636540880774227e-06,3.361798491621707e-20,27.007903507182004,241537158474.3157,0.006226870215714388,34.22598583914817,150402053809.46957,0.009999999999982093,9.80665,11.920942073758974
0.4,0.02,0.3450012447635583,2.0,0.17902556707130565,0.2387007560950742,0.0,2.8045207070981455e-05,1.8473113831912797e-19,27.007903507182004,212871357572.38293,0.00630168542696748,34.02220940991644,134144833183.17249,0.01000000000000704,9.80665,11.975685487630638
0.4,0.02,0.3450012447635583,2.0,0.2387007560950742,0.2387007560950742,0.0,9.999999999998576e-05,1.0152733847290799e-18,27.007903507182004,187050486097.9185,0.006379638415205119,33.81371135623343,119331446666.47107,0.010000000000237668,9.80665,12.03435571774258
0.4,0.02,0.3234386669658359,1.875,0.0,0.24280093727366237,0.0,1.9812244162122705e-06,9.127170445141062e-22,27.007903507182004,321147525723.67755,0.006086036390309699,34.61972397599179,195451552821.22217,0.009999999999999998,9.806649999999998,11.82177970713338
0.4,0.02,0.3234386669658359,1.875,0.06070023431841559,0.24280093727366237,0.0,2.9892379587702824e-06,5.167990221126293e-21,27.007903507182004,283986257296.22504,0.006156246700210848,34.4217436356226,174828945958.98236,0.009999999998829088,9.80665,11.870601196428161
0.4,0.02,0.3234386669658359,1.875,0.12140046863683118,0.24280093727366237,0.0,7.96986739286381e-06,2.92774558698552e-20,27.007903507182004,250436099691.46835,0.00622939008953573,34.219062698361164,156006415748.1971,0.009999999999987462,9.806650000000001,11.92276182303935
0.4,0.02,0.3234386669658359,1.875,0.18210070295524677,0.24280093727366237,0.0,2.6921364087229402e-05,1.6593828735843427e-19,27.007903507182004,220207848436.40048,0.006305624403518429,34.011581309379544,138854798294.55576,0.01000000000000934,9.80665,11.978609433280866
0.4,0.02,0.3234386669658359,1.875,0.24280093727366237,0.24280093727366237,0.0,9.999999999985128e-05,9.40870753194474e-19,27.007903507182004,193031493188.3286,0.006385113672910613,33.79921055808069,123252802642.49123,0.010000000000277775,9.80665,12.038541552441302
0.55,0.025,1.3731406760973095,5.0,0.0,0.06707625607318858,0.0,7.699548477017621e-05,9.141416392818135e-17,27.007903507182004,285933509420.37445,0.006086036390265123,34.61972397611858,174020174352.8615,0.009999999999999998,9.80665,11.821779707214201
0.55,0.025,1.3731406760973095,5.0,0.016769064018297145,0.06707625607318858,0.0,7.860473447008819e-05,1.2991721134867746e-16,27.007903507182004,276456111112.5872,0.00610514829200565,34.56549372985615,168780555457.35364,0.01,9.80665,11.834951596207308
0.55,0.025,1.3731406760973095,5.0,0.03353812803659429,0.06707625607318858,0.0,8.2645638830362e-05,1.8463570951567743e-16,27.007903507182004,267239062590.35806,0.006124475610234834,34.51091059459917,163669912073.9388,0.010000000001205352,9.80665,11.8483609302828
