success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
True,,0.95,9.0,37.33135645878566,335.98220812907095,,0.05,205.15101577432668,49.688891098694896,-7.137953923372929e+16,3478396898.361687,10.0,0.0007970344234057992,3.8701668530500555e-33,130371978424.83615,17197770030.562183,74915072563.60458,581450380307.7527,222484821019.00293,581450380307.7527,7.761460550066053,2.05,12.37538321802424,14.962779358127566,12.351738896647493,10.265882877581515,10.265882877581515
True,,0.95,10.0,37.33135645878566,373.3135645878566,,0.05,209.59950957730902,51.04767936842998,-7.292733287609798e+16,3525636102.352695,10.0,0.0007758189433193792,4.007656867684434e-33,137136546447.94164,18134317260.255703,75117864935.28503,646055978119.7251,230388728643.48236,646055978119.7251,8.600563643233341,2.05,12.713799414850365,15.37195027389775,12.689508517834229,10.54661285412346,10.54661285412346
True,,0.95,12.0,37.33135645878566,447.97627750542796,,0.05,217.0237694630643,53.33830898637964,-7.55105043402823e+16,3603869897.5106525,10.0,0.0007425011669686596,4.2464312813297584e-33,148895880382.3214,19767850919.265175,75451455321.84851,775267173743.6702,244115186623.4351,775267173743.6702,10.27504599396608,2.05,13.284297542417315,16.06172589188237,13.258916655633966,11.019864215822864,11.019864215822864
True,,0.95,15.0,37.33135645878566,559.970346881785,,0.05,225.6898919358201,56.04672390119382,-7.852576520415656e+16,3694235681.428663,10.0,0.0007066203679690587,4.540057092315802e-33,163374558529.619,21787786799.006912,75832549194.82007,969083967179.5878,260994894523.44598,969083967179.5878,12.779261378777221,2.05,13.958848166170682,16.877308890104906,13.932178487642307,11.57943134812515,11.57943134812515
False,True,1.0,0.625,34.081978597400635,21.301236623375395,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,1.0,1.05,34.081978597400635,35.78607752727067,,0.05,9.50564679584423,1.927183728459793,-3307362071033174.0,685032289.66229,10.0,0.02055006799905538,1.1984871129640538e-33,224904485.70882156,28480694.294145625,72270399682.61597,72524272786.15189,72523784862.61893,72524272786.15189,1.0035128227414105,2.1,0.47405780725917557,0.5712119683210676,0.4731800115819278,0.3945158214823116,0.3945158214823116
True,,1.0,1.25,34.081978597400635,42.60247324675079,,0.05,63.900522922707665,13.32493391768609,-2.2233328291363172e+16,1801283267.272686,10.0,0.002972154076798538,1.4082423479784368e-33,10553882572.810871,1355709132.1788094,73307065173.8905,86338419983.51411,85216656878.88019,86338419983.51411,1.1777639682984464,2.1,3.2777305358114806,3.9494738454193126,3.271661280856788,2.7277613302260293,2.7277613302260293
True,,1.0,1.6,34.081978597400635,54.531165755841016,,0.05,97.19872709120484,20.968074821281697,-3.3818990989092868e+16,2259585408.649581,10.0,0.0018887645625112754,1.7099552670903812e-33,25558476387.38344,3339203137.473054,74576464313.42139,110513177578.89807,103474143838.27788,110513177578.89807,1.481877407253393,2.1,5.157826638650197,6.214879834077851,5.148276077815482,4.292396796869856,4.292396796869856
True,,1.0,1.875,34.081978597400635,63.90370987012619,,0.05,112.93573810290226,24.82918054318536,-3.9294472505434744e+16,2458842301.219343,10.0,0.0015950488820055525,1.9063760956857995e-33,35398370824.07319,4668017167.70059,75293725884.48041,129507629975.2712,115360113876.25418,129507629975.2712,1.7200321601028035,2.1,6.107599763594728,7.359300973969363,6.0962905422534766,5.082807837193592,5.082807837193592
True,,1.0,3.125,34.081978597400635,106.50618311687698,,0.05,151.2233639272931,34.95818023057675,-5.261613742326677e+16,2917587511.3088617,10.0,0.0011328895384514822,2.5504556702908888e-33,67941471851.751755,9177458279.825254,77216228196.7969,215846049958.78528,154335158328.3739,215846049958.78528,2.795345680556552,2.1,8.599179217397602,10.361508684171618,8.583256428595638,7.156326087401595,7.156326087401595
