i,j,r_over_h,z_over_h,payload_surface_distance_over_h,rho,cell_energy,S,S_over_rho,kernel_cell_integral,signed_force,gross_outward_force,lambda_min_over_rho,lambda_mid_over_rho,lambda_max_over_rho,dec_ratio,in_teacher_F50,in_teacher_F90
0,37,0.03493418511502632,-0.733617887415553,1.6906709707827963,0.0008184651609734974,8.769844830030601e-07,0.0015966881705298504,1.9508321754718556,-0.00035623138446090835,-5.687904375402035e-07,0.0,-0.9999994825954446,0.9508316997329229,0.9999999583343775,0.9999999583343775,0,0
0,38,0.03493418511502632,-0.6637495171855003,1.6208173770895886,0.00011558036582415173,1.2384422966401598e-07,0.00022288828722652948,1.9284269057050745,-0.0003867522016898136,-8.620253581573183e-08,0.0,-0.9623589811567032,0.890786174028054,0.9999997128337236,0.9999997128337236,0,0
0,39,0.03493418511502632,-0.5938811469554477,1.5509650784188274,9.415298620932682e-09,1.0088481693682552e-11,2.3322542277917085e-08,2.477090023046635,-0.00042136890876197906,-9.827394189201044e-12,0.0,-0.4738539628412219,0.9564844328752976,0.9944595530125593,0.9944595530125593,0,0
0,40,0.03493418511502632,-0.524012776725395,1.4811142527937118,2.5101982975231857e-09,2.689674602117612e-12,4.737099330210321e-09,1.88714147997169,-0.0004608482939772937,-2.183084144728407e-12,0.0,-0.9490771021524989,0.8628535321271585,0.9733650499970299,0.9733650499970299,0,0
0,41,0.03493418511502632,-0.4541444064953424,1.4112651124293056,1.34064404498158e-09,1.4364985594266159e-12,2.5198850863415335e-09,1.87960786144107,-0.0005061452792026364,-1.2754279405848951e-12,0.0,-0.9071421162966096,0.8605039467562648,0.9262460309814147,0.9262460309814147,0,0
0,42,0.03493418511502632,-0.3842760362652897,1.3414179123539838,9.931580521591785e-10,1.0641677159198486e-12,1.462532793068411e-09,1.4726083022624512,-0.0005584611299405949,-8.16767716192159e-13,0.0,-0.9298102416149938,0.6877583432329295,0.7146602006445156,0.9298102416149938,0,0
0,43,0.03493418511502632,-0.31440766603523707,1.2715729617776024,8.536527948587011e-10,9.146879924282042e-13,-4.856215578206205e-10,-0.5688747939974845,-0.0006193238037389894,3.0075699036712024e-13,3.0075699036712024e-13,-0.9280379861794942,-0.34954340285691704,-0.2912934049610734,0.9280379861794942,0,0
0,44,0.03493418511502632,-0.2445392958051844,1.2017306392843623,1.1808744912186869e-09,1.2653056654740727e-12,-1.5874285812447964e-09,-1.34428221885506,-0.0006907006036307615,1.0964378792865042e-12,1.0964378792865042e-12,-0.9460951329365638,-0.7290970383169795,-0.6690900476015168,0.9460951329365638,0,0
0,45,0.03493418511502632,-0.17467092557513175,1.1318914134404297,1.3997911192957e-09,1.4998745818425432e-12,-2.307137645270569e-09,-1.6482013733816208,-0.0007751588703812745,1.7883982109220477e-12,1.7883982109220477e-12,-0.950612264855601,-0.8510219475320914,-0.846567160993928,0.950612264855601,0,0
0,46,0.03493418511502632,-0.1048025553450791,1.0620558712093595,1.4971097856685757e-09,1.6041514214505264e-12,-2.5663148840713303e-09,-1.7141794867937967,-0.0008760996170745735,2.248347487227671e-12,2.248347487227671e-12,-0.9506249586978852,-0.8880938535050273,-0.8754606745908843,0.9506249586978852,0,0
0,47,0.03493418511502632,-0.03493418511502666,0.9922247578581537,1.5223947352120304e-09,1.6312442159400927e-12,-2.6177921814100262e-09,-1.7195226184524575,-0.0009981045205761806,2.612830210194328e-12,2.612830210194328e-12,-0.9521544925213814,-0.8844479305940516,-0.8829201953370241,0.9521544925213814,0,0
0,48,0.03493418511502632,0.034934185115025995,0.9223990341648169,1.5223947353926358e-09,1.6312442161336215e-12,-2.6177921805502034e-09,-1.7195226176836833,-0.0011474637112816348,3.0038215308581796e-12,3.0038215308581796e-12,-0.9521544922520666,-0.8844479303330051,-0.8829201950986113,0.9521544922520666,0,0
0,49,0.03493418511502632,0.10480255534507865,0.8525799603567941,1.4971097862213191e-09,1.6041514220427903e-12,-2.5663148815245044e-09,-1.714179484459748,-0.0013330004870270348,3.4208989869368915e-12,3.4208989869368915e-12,-0.9506249579066204,-0.8880938527540531,-0.8754606737990744,0.9506249579066204,0,0
0,50,0.03493418511502632,0.1746709255751313,0.7827692225758819,1.3997911202538539e-09,1.499874582869204e-12,-2.30713764094664e-09,-1.6482013691644493,-0.0015674001308369101,3.616207840278524e-12,3.616207840278524e-12,-0.9506122634586543,-0.8510219460772847,-0.8465671596285101,0.9506122634586543,0,0
0,51,0.03493418511502632,0.24453929580518396,0.712969129309674,1.180874492643027e-09,1.2653056670002516e-12,-1.5874285748258964e-09,-1.3442822117979043,-0.0018694277543351012,2.9675830358041455e-12,2.9675830358041455e-12,-0.9460951304722949,-0.729097036052405,-0.6690900452732048,0.9460951304722949,0,0
0,52,0.03493418511502632,0.3144076660352366,0.6431829275046546,8.536527968501692e-10,9.1468799456206e-13,-4.856215488480264e-10,-0.5688747821595451,-0.0022677845566582344,1.1012850488580067e-12,1.1012850488580067e-12,-0.9280379814924105,-0.3495433990596017,-0.29129340160753303,0.9280379814924105,0,0
0,53,0.03493418511502632,0.3842760362652893,0.5734153329726049,9.931580548825441e-10,1.0641677188379316e-12,1.4625328052995406e-09,1.4726083105397632,-0.002808143281008317,-4.107001670456149e-12,0.0,-0.9298102361143229,0.6877583448462061,0.71466020180788,0.9298102361143229,0,0
0,54,0.03493418511502632,0.45414440649534193,0.5036734659629167,1.3406440487045962e-09,1.4364985634158232e-12,2.519885102961304e-09,1.8796078686181876,-0.0035667419840017247,-8.987779991592592e-12,0.0,-0.907142110772885,0.860503947494286,0.9262460318967868,0.9262460318967868,0,0
0,55,0.03493418511502632,0.5240127767253946,0.4339686050988299,2.5101983026522018e-09,2.6896746076133465e-12,4.7370993530716714e-09,1.887141485223136,-0.004678544644499939,-2.2162730808777595e-11,0.0,-0.9490770979664851,0.8628535328971084,0.973365050292513,0.973365050292513,0,0
