mode,beta,f,reset_duty,A,C
UNRESTRICTED_CONVERSION,0.21279916317991632,0.9429149525240064,0.3111908877335558,0.15136025596558042,7.02027064416956
HEADON_KINETIC_LIMITED,0.21279916317991632,0.022904039436285828,0.007805303760602044,-0.18864884878728158,inf
UNRESTRICTED_CONVERSION,0.21676987447698748,0.9429149525240064,0.3116714579276604,0.15115552037594165,7.0435920963756375
HEADON_KINETIC_LIMITED,0.21676987447698748,0.023777268488778147,0.008061206655830471,-0.1887034247858639,inf
UNRESTRICTED_CONVERSION,0.22074058577405858,0.9429149525240064,0.3119117167725423,0.15098645466098357,7.065562909813112
HEADON_KINETIC_LIMITED,0.22074058577405858,0.024667444513346792,0.008317108708905776,-0.1887575176452096,inf
UNRESTRICTED_CONVERSION,0.2247112970711297,0.9429149525240064,0.31239218199937546,0.15077708610426477,7.089733494317773
HEADON_KINETIC_LIMITED,0.2247112970711297,0.025574613955172798,0.00857300989311185,-0.1888110815687058,inf
UNRESTRICTED_CONVERSION,0.22868200836820085,0.9429149525240064,0.31287257733134777,0.15056541047328556,7.114336659748513
HEADON_KINETIC_LIMITED,0.22868200836820085,0.0264988243208506,0.008828910181734343,-0.18886406979796072,inf
UNRESTRICTED_CONVERSION,0.23265271966527196,0.9429149525240064,0.31311274880781503,0.15038936790868718,7.137574248347055
HEADON_KINETIC_LIMITED,0.23265271966527196,0.027440124191650428,0.009340707965380446,-0.18895238712715345,inf
UNRESTRICTED_CONVERSION,0.23662343096234312,0.9429149525240064,0.3135930394241947,0.15017307172825078,7.1630427860313555
HEADON_KINETIC_LIMITED,0.23662343096234312,0.028398563237162944,0.009596605406984723,-0.18900405709484727,inf
UNRESTRICTED_CONVERSION,0.24059414225941422,0.9429149525240064,0.31407326031564625,0.14995447525805675,7.18895246728688
HEADON_KINETIC_LIMITED,0.24059414225941422,0.029374192229334573,0.00985250184616688,-0.18905500484609974,inf
UNRESTRICTED_CONVERSION,0.24456485355648538,0.9429149525240064,0.31431334463611416,0.14977147158011228,7.213480902443089
HEADON_KINETIC_LIMITED,0.24456485355648538,0.03036706305690351,0.010364291610448294,-0.18914106297773292,inf
UNRESTRICTED_CONVERSION,0.2485355648535565,0.9429149525240064,0.31479346107008976,0.1495482669951723,7.240273158060962
HEADON_KINETIC_LIMITED,0.2485355648535565,0.031377228740247065,0.010620184882144583,-0.1891903893326567,inf
UNRESTRICTED_CONVERSION,0.25250627615062765,0.9429149525240064,0.31527350795335907,0.1493227689147717,7.267515616883194
HEADON_KINETIC_LIMITED,0.25250627615062765,0.03240474344665012,0.010876077044612924,-0.18923883794903507,inf
UNRESTRICTED_CONVERSION,0.25647698744769876,0.9429149525240064,0.31575348535681014,0.14909497973126404,7.295211461770299
HEADON_KINETIC_LIMITED,0.25647698744769876,0.03344966250600634,0.011387857935084346,-0.18932216568644963,inf
UNRESTRICTED_CONVERSION,0.26044769874476986,0.9429149525240064,0.3161134206889801,0.1488838139876577,7.32243367570372
HEADON_KINETIC_LIMITED,0.26044769874476986,0.034512042426963485,0.011643746609702561,-0.18936867149452397,inf
