A_refined,C_after_10pct_impulse_loss,C_after_25pct_impulse_loss,C_after_50pct_impulse_loss,C_refined,a,aspect,b,baseline_active,beta,bottom_duty,bottom_kernel,chi_plus,coarse_C,conversion_gain_refined,curvature_concentration,duty_class,f,family,guide_factor,halfwidth,interaction_arc_length_over_h,inventory_energy,k_avg,loss,max_additional_impulse_loss_to_still_beat_006D,negative_packet_interaction,overhead,overhead_active_ratio,overhead_attraction_refined,packet_active_interaction,psi,q,reset_duty_required,top_duty,top_kernel,virial_feasible_refined
-inf,inf,inf,inf,inf,1.1760203247063623,2.302439480174727,2.7077156250918306,2.0,1.0,nan,nan,3.0,12.652454019508776,-inf,3.9511656505357142,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1746246068375674,4.239333324535892,2.0,0.16080147950097845,0.07630252465605736,0.0,True,0.0,0.0,inf,-2.0,0.9844893122057864,2.0,0.6686453838562143,0.33432269192810715,0.38390756198628656,False
-inf,inf,inf,inf,inf,1.763695624017339,1.4792488536117265,2.6089447299476674,2.0,1.0,nan,nan,3.0,12.668499270781053,-inf,1.850883236311818,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1255129222897702,4.649858297169978,2.0,0.15590624972216552,0.21867544436827302,0.0,True,0.0,0.0,inf,-2.0,1.5216733136756537,2.0,0.6707001870476144,0.3353500935238072,0.37666916309338133,False
0.13293749481053402,16.716293814543377,20.059552577452052,30.08932886617808,15.04466443308904,1.7380312795616766,1.5031280190856462,2.612483514356434,2.0,1.0,0.66075829459987,0.04443581978905057,3.0,12.669933874490988,0.4455081207848564,1.90031055366083,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1139651977259937,4.561151590075382,2.0,0.1562853129871612,0.3883164972066879,0.36228686607784566,True,0.0,0.0,0.0,-2.0,0.6598501378715804,2.0,0.660751922511143,0.3303759612555715,0.3815583251536233,True
0.12445378194892998,17.8558030734182,21.42696368810184,32.14044553215276,16.07022276607638,1.383316404277146,1.5697071271451852,2.1714016188906866,2.0,1.0,0.6544550696927796,0.059908993696076794,3.0,12.677478720363059,0.4937542117033728,2.041703564336065,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.111654351508274,3.6992538826253574,2.0,0.1846502148772214,0.482543702237308,0.31881550641688083,True,0.0,0.0,0.0,-2.0,1.7067638034755848,2.0,0.6544382606140705,0.32721913030703526,0.43714566784013875,True
0.12813693109737018,17.342558489508182,20.81107018740982,31.216605281114727,15.608302640557364,1.2618862211168826,2.263722502261146,2.8565602340355714,2.0,1.0,0.6541650722787237,0.04366253080860695,3.0,12.682456728912534,0.4353393338619575,3.8338898685098246,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1547669639961133,4.391849926382936,2.0,0.15360120138229366,0.20788046903908253,0.33839537356357297,True,0.0,0.0,0.0,-2.0,0.9823446864925647,2.0,0.6541253425909744,0.3270626712954872,0.3764296435572172,True
0.12579542744256017,17.665365644843632,21.19843877381236,31.797658160718537,15.898829080359269,1.3801186592775925,1.6362041807592236,2.2581559202538113,2.0,1.0,0.652749859215298,0.05708483904848166,3.0,12.68781846321373,0.48570299480050827,2.188202465569696,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1152093655946587,3.784919579642977,2.0,0.17995378367897405,0.2842716872692108,0.3260805408042704,True,0.0,0.0,0.0,-2.0,0.903810489513746,2.0,0.6527401860297057,0.32637009301485287,0.429134936147061,True
-inf,inf,inf,inf,inf,1.355401229186316,2.1785798697547496,2.9528498333461517,2.0,1.0,nan,nan,3.0,12.690914028328274,-inf,3.5824606958839795,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.175867657645125,4.717104133687315,2.0,0.14889466064916265,0.32530197128653526,0.0,True,0.0,0.0,inf,-2.0,1.0942107745832013,2.0,0.6736739714240436,0.3368369857120218,0.35984875762943075,False
0.1273234510351916,17.45336153045373,20.944033836544474,31.416050754816712,15.708025377408356,1.2158044544131539,2.315692825096127,2.8154296518044513,2.0,1.0,0.6576640505243008,0.04521868696297363,3.0,12.697833856869456,0.43878579606183693,3.9917339810694643,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1613053638799957,4.3300866039771355,2.0,0.15573117251332266,0.49598480435088277,0.3341683268704828,True,0.0,0.0,0.0,-2.0,2.533104501063445,2.0,0.657661378690952,0.328830689345476,0.3788144034765495,True
0.12300591688087337,18.065978276267487,21.67917393152098,32.518760897281474,16.259380448640737,1.1860552152223018,1.9851551469859177,2.354503615108043,2.0,1.0,0.6532247610814379,0.05692038994607721,3.0,12.70155265586916,0.4794976320576477,3.044239299179103,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1401756605314997,3.7324118168567053,2.0,0.17824585758838718,0.44141250755637884,0.31079749185164673,True,0.0,0.0,0.0,-2.0,0.8871157707974147,2.0,0.6532064154816586,0.3266032077408293,0.42395576281627684,True
0.1294443555738577,17.167393760589878,20.600872512707856,30.90130876906178,15.45065438453089,1.4532731538275852,1.7076489281114313,2.481680343386795,2.0,1.0,0.6527936356701325,0.05001766271814083,3.0,12.702958271228352,0.46415151028359053,2.351506094788987,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1211970361790604,4.104087984762156,2.0,0.16735357735486642,0.13993130438029766,0.34507776677048896,True,0.0,0.0,0.0,-2.0,1.1341142595044693,2.0,0.652787786454299,0.3263938932271495,0.40553296573330744,True
